"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
3707.00000,-10225.077058,18924.863594,-867.249164,-134.438122,-62.956887,211.230712
3708.00000,-10358.776664,18860.547314,-655.961150,-132.957886,-65.674131,211.340250
3709.00000,-10490.986455,18793.518481,-444.578795,-131.458527,-68.381929,211.419393
3710.00000,-10621.687416,18723.786734,-233.132500,-129.940262,-71.079893,211.468129
3711.00000,-10750.860750,18651.362103,-21.652676,-128.403308,-73.767633,211.486451
3712.00000,-10878.487877,18576.255004,189.830263,-126.847888,-76.444765,211.474357
3713.00000,-11004.550444,18498.476239,401.285900,-125.274223,-79.110901,211.431848
3714.00000,-11129.030318,18418.036994,612.683824,-123.682542,-81.765660,211.358931
3715.00000,-11251.909598,18334.948838,823.993630,-122.073073,-84.408660,211.255616
3716.00000,-11373.170611,18249.223721,1035.184928,-120.446046,-87.039519,211.121918
3717.00000,-11492.795917,18160.873972,1246.227344,-118.801697,-89.657861,210.957856
3718.00000,-11610.768311,18069.912297,1457.090526,-117.140262,-92.263308,210.763454
3719.00000,-11727.070825,17976.351780,1667.744147,-115.461980,-94.855485,210.538739
3720.00000,-11841.686734,17880.205875,1878.157911,-113.767091,-97.434020,210.283744
3721.00000,-11954.599554,17781.488412,2088.301554,-112.055841,-99.998542,209.998506
3722.00000,-12065.793044,17680.213586,2298.144855,-110.328474,-102.548681,209.683066
3723.00000,-12175.251212,17576.395965,2507.657634,-108.585240,-105.084073,209.337468
3724.00000,-12282.958317,17470.050479,2716.809756,-106.826388,-107.604351,208.961764
3725.00000,-12388.898868,17361.192422,2925.571143,-105.052173,-110.109153,208.556006
3726.00000,-12493.057628,17249.837452,3133.911770,-103.262849,-112.598118,208.120253
3727.00000,-12595.419616,17136.001584,3341.801673,-101.458674,-115.070890,207.654569
3728.00000,-12695.970112,17019.701188,3549.210953,-99.639907,-117.527113,207.159019
3729.00000,-12794.694653,16900.952993,3756.109779,-97.806809,-119.966432,206.633675
3730.00000,-12891.579041,16779.774076,3962.468396,-95.959645,-122.388497,206.078612
3731.00000,-12986.609343,16656.181865,4168.257124,-94.098680,-124.792961,205.493912
3732.00000,-13079.771889,16530.194137,4373.446368,-92.224181,-127.179476,204.879656
3733.00000,-13171.053283,16401.829009,4578.006615,-90.336418,-129.547701,204.235935
3734.00000,-13260.440395,16271.104946,4781.908446,-88.435663,-131.897293,203.562840
3735.00000,-13347.920369,16138.040746,4985.122536,-86.522189,-134.227916,202.860468
3736.00000,-13433.480625,16002.655548,5187.619657,-84.596271,-136.539234,202.128921
3737.00000,-13517.108856,15864.968823,5389.370687,-82.658187,-138.830915,201.368303
3738.00000,-13598.793036,15725.000374,5590.346609,-80.708214,-141.102629,200.578724
3739.00000,-13678.521416,15582.770330,5790.518519,-78.746634,-143.354049,199.760297
3740.00000,-13756.282530,15438.299147,5989.857627,-76.773729,-145.584852,198.913141
3741.00000,-13832.065193,15291.607605,6188.335265,-74.789782,-147.794717,198.037377
3742.00000,-13905.858507,15142.716799,6385.922887,-72.795078,-149.983325,197.133130
3743.00000,-13977.651859,14991.648144,6582.592075,-70.789905,-152.150363,196.200532
3744.00000,-14047.434923,14838.423367,6778.314544,-68.774551,-154.295518,195.239715
3745.00000,-14115.197663,14683.064505,6973.062146,-66.749305,-156.418483,194.250819
3746.00000,-14180.930333,14525.593901,7166.806870,-64.714459,-158.518950,193.233986
3747.00000,-14244.623480,14366.034203,7359.520854,-62.670307,-160.596620,192.189361
3748.00000,-14306.267942,14204.408360,7551.176379,-60.617140,-162.651192,191.117096
3749.00000,-14365.854854,14040.739617,7741.745883,-58.555256,-164.682371,190.017343
3750.00000,-14423.375647,13875.051512,7931.201957,-56.484950,-166.689866,188.890262
3751.00000,-14478.822047,13707.367876,8119.517352,-54.406521,-168.673387,187.736015
3752.00000,-14532.186081,13537.712825,8306.664986,-52.320267,-170.632649,186.554767
3753.00000,-14583.460072,13366.110758,8492.617943,-50.226487,-172.567370,185.346688
3754.00000,-14632.636648,13192.586357,8677.349477,-48.125485,-174.477273,184.111953
3755.00000,-14679.708735,13017.164577,8860.833022,-46.017560,-176.362082,182.850738
3756.00000,-14724.669563,12839.870648,9043.042188,-43.903018,-178.221526,181.563226
3757.00000,-14767.512666,12660.730069,9223.950769,-41.782161,-180.055338,180.249600
3758.00000,-14808.231882,12479.768604,9403.532748,-39.655295,-181.863254,178.910051
3759.00000,-14846.821355,12297.012279,9581.762295,-37.522726,-183.645015,177.544771
3760.00000,-14883.275535,12112.487378,9758.613778,-35.384760,-185.400363,176.153956
3761.00000,-14917.589179,11926.220440,9934.061763,-33.241705,-187.129047,174.737807
3762.00000,-14949.757352,11738.238255,10108.081015,-31.093869,-188.830818,173.296526
3763.00000,-14979.775427,11548.567858,10280.646507,-28.941562,-190.505430,171.830321
3764.00000,-15007.639087,11357.236528,10451.733420,-26.785092,-192.152644,170.339404
3765.00000,-15033.344326,11164.271782,10621.317148,-24.624769,-193.772222,168.823988
3766.00000,-15056.887445,10969.701373,10789.373302,-22.460905,-195.363932,167.284292
3767.00000,-15078.265059,10773.553284,10955.877712,-20.293811,-196.927544,165.720536
3768.00000,-15097.474094,10575.855726,11120.806430,-18.123798,-198.462833,164.132946
3769.00000,-15114.511786,10376.637132,11284.135736,-15.951178,-199.969579,162.521751
3770.00000,-15129.375685,10175.926154,11445.842140,-13.776264,-201.447566,160.887181
3771.00000,-15142.063653,9973.751658,11605.902385,-11.599369,-202.896580,159.229472
3772.00000,-15152.573867,9770.142722,11764.293451,-9.420806,-204.316413,157.548863
3773.00000,-15160.904813,9565.128628,11920.992558,-7.240887,-205.706860,155.845595
3774.00000,-15167.055295,9358.738863,12075.977169,-5.059928,-207.067723,154.119912
3775.00000,-15171.024426,9151.003109,12229.224994,-2.878240,-208.398805,152.372064
3776.00000,-15172.811637,8941.951243,12380.713993,-0.696139,-209.699915,150.602302
3777.00000,-15172.416671,8731.613332,12530.422378,1.486062,-210.970865,148.810880
3778.00000,-15169.839584,8520.019627,12678.328618,3.668050,-212.211473,146.998055
3779.00000,-15165.080747,8307.200559,12824.411441,5.849510,-213.421561,145.164089
3780.00000,-15158.140844,8093.186736,12968.649838,8.030129,-214.600954,143.309245
3781.00000,-15149.020873,7878.008939,13111.023062,10.209593,-215.749483,141.433791
3782.00000,-15137.722147,7661.698114,13251.510639,12.387589,-216.866982,139.537995
3783.00000,-15124.246290,7444.285372,13390.092362,14.563803,-217.953291,137.622130
3784.00000,-15108.595240,7225.801980,13526.748302,16.737922,-219.008254,135.686473
3785.00000,-15090.771248,7006.279363,13661.458803,18.909634,-220.031719,133.731301
3786.00000,-15070.776877,6785.749092,13794.204492,21.078627,-221.023538,131.756895
3787.00000,-15048.615004,6564.242883,13924.966277,23.244588,-221.983569,129.763540
3788.00000,-15024.288816,6341.792595,14053.725352,25.407206,-222.911675,127.751522
3789.00000,-14997.801810,6118.430220,14180.463197,27.566170,-223.807721,125.721131
3790.00000,-14969.157798,5894.187884,14305.161587,29.721169,-224.671578,123.672658
3791.00000,-14938.360897,5669.097835,14427.802585,31.871894,-225.503123,121.606399
3792.00000,-14905.415539,5443.192448,14548.368554,34.018034,-226.302236,119.522650
3793.00000,-14870.326460,5216.504213,14666.842154,36.159283,-227.068801,117.421711
3794.00000,-14833.098707,4989.065732,14783.206346,38.295330,-227.802709,115.303884
3795.00000,-14793.737635,4760.909716,14897.444394,40.425871,-228.503854,113.169474
3796.00000,-14752.248904,4532.068978,15009.539868,42.550596,-229.172136,111.018788
3797.00000,-14708.638482,4302.576431,15119.476647,44.669203,-229.807457,108.852134
3798.00000,-14662.912640,4072.465080,15227.238919,46.781385,-230.409728,106.669826
3799.00000,-14615.077955,3841.768022,15332.811185,48.886838,-230.978860,104.472176
3800.00000,-14565.141307,3610.518434,15436.178262,50.985261,-231.514772,102.259501
3801.00000,-14513.109877,3378.749576,15537.325285,53.076351,-232.017388,100.032119
3802.00000,-14458.991149,3146.494781,15636.237704,55.159807,-232.486635,97.790350
3803.00000,-14402.792907,2913.787451,15732.901296,57.235331,-232.922445,95.534516
3804.00000,-14344.523232,2680.661057,15827.302157,59.302622,-233.324756,93.264943
3805.00000,-14284.190505,2447.149125,15919.426710,61.361385,-233.693510,90.981956
3806.00000,-14221.803404,2213.285241,16009.261707,63.411322,-234.028653,88.685884
3807.00000,-14157.370900,1979.103039,16096.794226,65.452140,-234.330138,86.377057
3808.00000,-14090.902261,1744.636199,16182.011679,67.483544,-234.597922,84.055807
3809.00000,-14022.407047,1509.918442,16264.901811,69.505243,-234.831965,81.722468
3810.00000,-13951.895108,1274.983527,16345.452698,71.516945,-235.032234,79.377376
3811.00000,-13879.376586,1039.865242,16423.652757,73.518361,-235.198701,77.020867
3812.00000,-13804.861910,804.597401,16499.490740,75.509204,-235.331341,74.653281
3813.00000,-13728.361797,569.213842,16572.955741,77.489188,-235.430135,72.274959
3814.00000,-13649.887249,333.748418,16644.037193,79.458026,-235.495069,69.886242
3815.00000,-13569.449554,98.234994,16712.724873,81.415437,-235.526134,67.487473
3816.00000,-13487.060279,-137.292559,16779.008904,83.361138,-235.523325,65.078999
3817.00000,-13402.731273,-372.800366,16842.879751,85.294851,-235.486643,62.661164
3818.00000,-13316.474666,-608.254556,16904.328228,87.216296,-235.416093,60.234318
