"Duration (min)","From Object","To Object"
60.537,"From Sensor Sensor11","To Sensor Sensor28"
65.220,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
174.101,"From Sensor Sensor11","To Sensor Sensor31"
104.196,"From Sensor Sensor11","To Sensor Sensor31"
12.518,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
